URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
Netclan20241017,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,5,1,0.6666665555555741,0.3128571428571429,166.0,29.518072111336913,78.20722884453477,166.0,49,166,2.054216855095079,0,6.620481887828422
Netclan20241018,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,12,8,0.1999999900000005,0.36491596638655466,382.0,33.246073211397714,166.0984292845591,382.0,127,382,2.232984287348209,0,6.7958115005345245
Netclan20241019,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/,11,4,0.46666663555555765,0.26481481481481484,276.0,23.188405713085487,119.6753622852342,276.0,64,276,1.9601449204342576,0,6.304347803245117
Netclan20241020,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,23,12,0.3142857053061227,0.34207317073170734,388.0,56.70103078169837,177.88041231267937,388.0,220,388,2.7190721579405355,0,7.889175237399033
Netclan20241021,https://insights.blackcoffer.com/development-of-ea-robot-for-automated-trading/,9,3,0.4999999583333368,0.25255265567765567,434.0,34.10138240990465,187.24055296396187,434.0,148,434,2.269585248226762,0,6.640552980090892
Netclan20241022,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,5,1,0.6666665555555741,0.3404761904761905,196.0,30.612244741774262,90.64489789670971,196.0,60,196,2.0714285608600584,0,6.673469353706789
Netclan20241023,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,12,8,0.1999999900000005,0.3668367346938776,412.0,33.49514554976906,178.19805821990764,412.0,138,412,2.228155334397681,0,6.808252410659581
Netclan20241024,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/,11,4,0.46666663555555765,0.2848484848484849,306.0,24.50980384147123,132.2039215365885,306.0,75,306,1.9803921503908752,0,6.36928102493699
Netclan20241025,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,23,12,0.3142857053061227,0.34500000000000003,418.0,55.26315776252834,189.30526310501136,418.0,231,418,2.6794258309104646,0,7.822966488461803
Netclan20241026,https://insights.blackcoffer.com/transforming-and-managing-a-large-scale-sql-pedigree-database-to-neo4j-graph-db/,56,22,0.4358974303090073,0.49940735365263667,1120.0,51.07142852582908,468.42857141033164,1120.0,572,1120,2.5758928548429525,0,7.558035707537467
Netclan20241027,https://insights.blackcoffer.com/enhancing-model-accuracy-from-58-to-over-90-strategies-for-improving-predictive-performance/,18,7,0.4399999824000007,0.3652777777777778,320.0,49.99999984375,147.9999999375,320.0,160,320,2.624999991796875,0,7.67812497600586
Netclan20241028,https://insights.blackcoffer.com/securing-sensitive-financial-data-with-privacy-preserving-machine-learning-for-predictive-analytics/,27,3,0.7999999733333342,0.4217391304347825,456.0,52.63157883194829,203.45263153277932,456.0,240,456,2.616228064438096,0,7.721491211137081
Netclan20241029,https://insights.blackcoffer.com/enhancing-data-collection-for-research-institutions-addressing-survey-fatigue-and-incorporating-verbal-communication-for-richer-insights/,21,7,0.49999998214285774,0.39089285714285715,302.0,44.70198660694707,138.68079464277884,302.0,135,302,2.516556283057761,0,7.705297987730801
Netclan20241030,https://insights.blackcoffer.com/analyzing-the-impact-of-positive-emotions-and-pandemic-severity-on-mental-health-and-resilience-among-entrepreneurs-insights-and-predictive-modeling/,13,7,0.29999998500000075,0.36695075757575757,291.0,53.608247238459626,137.84329889538387,291.0,156,291,2.670103083607893,0,7.841924371677236
Netclan20241031,https://insights.blackcoffer.com/dynamic-brand-centric-dashboard-for-automotive-dealerships-pdf-to-financial-insights-with-flask-react-architecture-and-aws-cloud-hosting/,61,17,0.56410255687048,0.31401284109149274,814.0,45.45454539870449,343.7818181594818,814.0,370,814,2.5429975398734674,0,7.606879597534546
Netclan20241032,https://insights.blackcoffer.com/cloud-based-data-modeling-and-analysis-platform-with-drag-and-drop-interface-and-openai-api-integration-for-simulation-insights/,26,13,0.33333332478632505,0.2679629629629629,584.0,38.5273971943024,249.01095887772095,584.0,225,584,2.3904109548109402,0,6.94520546755958
Netclan20241033,https://insights.blackcoffer.com/voter-profile-analysis-and-search-application-for-targeted-campaign-engagement-using-government-voter-data/,77,16,0.6559139714417853,0.44481968031968055,967.0,53.77456044077088,408.3098241763084,967.0,520,967,2.7280248162067995,0,7.94208892663693
